id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
1;gosh joyous;busily lieu whenever;overproduce whoa;whereas;proper stealthily;uh-huh;hmph why pish;oof pace;meh clear backburn;dwell shyly;until though;nor fooey;shakily adumbrate rule;following;aha shyly;although next;without;bathrobe mmm;service chunter;inside versus;snappy awful probate;alongside
2;iterate giggle though;yippee ecliptic;onto;below usefully;tag unbearably scram;vice shocked quiet;blah;prudent;under expert;statement greedily analyse;as;beyond soggy;tut;than;remark short-term meh;slowly;noon;unique;soon however worst;sedately gosh;bar mortally fen;schnitzel to dandelion
3;lavish;ew expensive brr;next ack;vainly;instead catalog;ick;though sophisticated;since swathe;complication granular folklore;reference provision excepting;but;hungrily near retrospectivity;as entwine along;vestment minus whoa;of frequent legal;fussy neaten but;uh-huh lest pfft;excitable sans;a past rebuke;soon;nor upon;but as loosely
4;deploy fencing um;decision save instead;provision refer;strong;always fowl mesh;eminent because;pro misjudge;yippee;because drat;aw that;down firm humidity;yuck;courageous;that gallivant finally;gazebo;adventurously;radiant meanwhile how;geez;dull hence;along attend gadzooks;but;hoick
5;circulate past accept;stranger psst;jubilantly secrecy meanwhile;whoever joyfully dearly;drat arrogantly if;ack uh-huh;brr;granny after concerning;wear acceptable;partially;so;accentuate;poor the an;hm;haul amend savour;anti;gee technician cassava;per these lift;quicker;ew;whenever sharply tusk;around vastly goat
6;even;ambitious yum boastfully;foot;woot digitize eventually;spectacles yearningly;rapid;except ack;though;where goodwill trust;when;bitter mystify soupy;offensively indeed;furthermore squid embalm;upwardly phew;co-producer athletic;degrease on;misfire reclassify;pace;and impeccable passport;witty;meh;blah
7;mob pendant;for;though;abnormally unto;detain;dereference bah;before puzzled mainstream;naturally;unkempt among;until;duh yum;stump accidentally piglet;for before against;elegant;swelter extra-large;plus;blank disk;tame that fervently;over aha;babyish;consequently hopeful disinherit;next
8;hmph;premier;to drowse transparency;ick from distinct;incidentally;blushing;flight quixotic;as wisecrack helpfully;ugh aha rationalize;lovingly mmm smuggle;passionate wholly queasy;from;hydrant;descent monocle depute;ick;ugh glisten before;instead;supposing;gah what under;rough;aboard;jaggedly curiously
9;shadowbox supposing talkative;focalise inquisitively;helplessly triangular;unkempt formula;unit round;than yearningly dismal;how orientate;orientate;hmph lest immediately;until instead;meaningfully clean;next follower director;state energetically;huzzah;decide providence wherever;pfft likewise;well provided;wonderful statement charlatan;import;phew instead back;euphonium;incidentally yippee er
10;victorious on whereas;unethically frankly ah;gad make ideal;wafer yet busily;yahoo teriyaki;gee;afore;seldom duh;blue;fax disk;repeatedly yuck sin;white;rule memorise phooey;up amendment;given;casket madly mortally;if outdo;steeple always;blah naturally mid;never dramatize;vision;ack inwardly
